
;;;Max_iterations25
;;;Neighborhood: 10
;;;Start temperature: 0.100000
;;;Temperature 0: 0.100000
;;;Alpha : 0.998700

current;best
1642.181200;1575.694732
1636.361773;1575.694732
1720.432331;1575.694732
1635.039803;1575.694732
1688.143551;1575.694732
1669.869470;1575.694732
1602.993290;1548.347297
1528.991439;1489.550928
1570.731184;1448.332785
1594.509159;1448.332785
1664.352156;1448.332785
1556.786603;1448.332785
1520.706658;1448.332785
1553.851534;1448.332785
1704.547822;1448.332785
1663.983822;1448.332785
1710.017372;1448.332785
1568.564488;1448.332785
1598.481708;1448.332785
1738.777706;1448.332785
1613.416543;1448.332785
1453.976456;1433.937678
1482.495188;1433.937678
1547.821059;1433.937678
1674.432542;1433.937678
1611.272683;1433.937678
1510.564458;1433.937678
1664.954921;1433.937678
1625.682984;1433.937678
1563.500093;1433.937678
1545.889374;1433.937678
1690.138448;1433.937678
1604.130751;1433.937678
1534.867043;1400.894043
1609.060574;1400.894043
1494.989011;1400.894043
1479.065523;1400.894043
1497.438271;1400.894043
1682.574449;1400.894043
1590.285165;1400.894043
1664.510780;1400.894043
1544.989430;1400.894043
1611.750035;1400.894043
1629.612809;1400.894043
1670.492658;1400.894043
1622.091849;1400.894043
1680.268533;1400.894043
1569.047698;1400.894043
1649.069018;1400.894043
1702.576926;1400.894043
1506.255839;1400.894043
1555.247129;1400.894043
1576.884392;1400.894043
1578.787241;1400.894043
1632.204553;1400.894043
1501.376547;1400.894043
1633.540088;1400.894043
1571.102203;1400.894043
1660.824361;1400.894043
1686.270093;1400.894043
1570.076948;1400.894043
1490.044475;1400.894043
1476.890777;1400.894043
1546.690762;1400.894043
1512.508249;1400.894043
1652.738341;1400.894043
1753.632331;1400.894043
1598.297652;1400.894043
1578.111193;1400.894043
1632.508614;1400.894043
1594.018079;1400.894043
1491.148882;1400.894043
1571.618463;1400.894043
1539.471780;1399.798283
1666.474020;1399.798283
1460.606076;1390.050557
1529.012224;1390.050557
1517.865548;1390.050557
1545.840014;1390.050557
1617.487292;1390.050557
1671.033689;1390.050557
1694.250417;1390.050557
1731.591984;1390.050557
1592.878019;1390.050557
1599.168844;1390.050557
1454.688665;1390.050557
1515.507233;1390.050557
1468.089372;1390.050557
1626.969648;1390.050557
1482.465295;1390.050557
1572.724233;1390.050557
1541.448909;1390.050557
1522.623990;1390.050557
1478.554326;1390.050557
1606.831816;1390.050557
1658.073958;1390.050557
1579.748891;1390.050557
1604.892944;1390.050557
1607.267843;1390.050557
1606.320483;1390.050557
1567.533180;1390.050557
1650.355217;1390.050557
1611.613059;1390.050557
1629.194409;1390.050557
1516.755302;1390.050557
1506.630404;1390.050557
1530.023572;1390.050557
1541.253398;1390.050557
1594.157427;1390.050557
1551.478471;1390.050557
1706.365741;1390.050557
1563.971706;1390.050557
1628.638262;1390.050557
1595.480074;1390.050557
1520.016029;1390.050557
1590.559701;1390.050557
1702.132676;1390.050557
1634.170893;1390.050557
1527.276017;1390.050557
1614.091790;1390.050557
1602.516646;1390.050557
1621.476276;1390.050557
1624.620316;1390.050557
